name,continent,area,pop,lifeExp,gdpPercap
Fiji,Oceania,19289.970732976504,885806,69.96,8222.25378436842
Tanzania,Africa,932745.7923570742,52234869,64.163,2402.09940362843
Western Sahara,Africa,96270.60104084716,NA,NA,NA
Canada,North America,10036042.97678732,35535348,81.9530487804878,43079.1425247165
United States,North America,9510743.74482458,318622525,78.8414634146341,51921.9846391384
Kazakhstan,Asia,2729810.512987813,17288285,71.62,23587.3375151466
Uzbekistan,Asia,461410.25845909625,30757700,71.039,5370.86580208835
Papua New Guinea,Oceania,464520.0724645863,7755785,65.23,3709.08164370316
Indonesia,Asia,1819251.328987314,255131116,68.856,10003.0890293448
Argentina,South America,2784468.589383837,42981515,76.252,18797.5479465897
Chile,South America,814844.2204878022,17613798,79.117,22195.2743713617
Democratic Republic of the Congo,Africa,2323492.4774621376,73722860,58.782,785.347340663008
Somalia,Africa,484332.7929846783,13513125,55.467,NA
Kenya,Africa,590836.9141957334,46024250,66.242,2753.23613475312
Sudan,Africa,1850885.5647924342,37737913,64.002,4188.33481399507
Chad,Africa,1271694.5982039792,13569438,52.204,2076.65000798778
Haiti,North America,28540.545984226104,10572466,62.757,1652.85480345734
Dominican Republic,North America,48157.87428216458,10405844,73.483,12663.0422473566
Russian Federation,Europe,17018507.409466572,143819666,70.7436585365854,25284.5862019855
Bahamas,North America,15584.790824863167,382169,75.379,28456.8165292476
Falkland Islands,South America,16363.798742390107,NA,NA,NA
Norway,Europe,397994.62898097734,NA,NA,NA
Greenland,North America,2206644.4395326236,56295,NA,NA
French Southern and Antarctic Lands,Seven seas (open ocean),11602.571846746203,NA,NA,NA
Timor-Leste,Asia,14714.931331542566,1212814,68.285,6262.90551556596
South Africa,Africa,1216400.8310803103,54539571,60.993,12389.7146679241
Lesotho,Africa,27505.654978690927,2145785,53.268,2677.19807805197
Mexico,North America,1969480.3067682623,124221600,76.753,16622.5970457658
Uruguay,South America,176853.6359196163,3419546,77.19,19827.5649886027
Brazil,South America,8508557.091825727,204213133,75.042,15374.2615071807
Bolivia,South America,1085269.5955913593,10562159,68.357,6324.82725807651
Peru,South America,1309699.636359681,30973354,74.518,11547.8342162709
Colombia,South America,1151882.9259634905,47791911,74.022,12715.9673914398
Panama,North America,75265.44903052165,3903986,77.61,20017.9943624961
Costa Rica,North America,53832.13570211229,4757575,79.44,14372.4007814474
Nicaragua,North America,129540.21167448263,6013997,74.884,4784.83046366078
Honduras,North America,113789.774793235,8809216,73.181,4231.32506716223
El Salvador,North America,20893.340233077342,6281189,73.015,6890.72322429183
Guatemala,North America,109459.04878620403,15923559,72.869,7147.42922806486
Belize,North America,22045.450831361348,351694,70.027,7999.57369198528
Venezuela,South America,908499.0704928687,30738378,74.196,16745.0219796981
Guyana,South America,209801.85724684558,763393,66.425,6906.01230864481
Suriname,South America,144268.72260446224,547928,71.138,15306.6924367639
France,Europe,644847.8822588419,NA,NA,NA
Ecuador,South America,250747.1095369835,15903112,75.879,10901.4185562194
Puerto Rico,North America,9224.663167074761,3534874,79.3901219512195,35066.0463763697
Jamaica,North America,12460.586870909252,2862087,75.689,8051.24402830602
Cuba,North America,114866.21815004347,11439767,79.415,NA
Zimbabwe,Africa,376328.4887427113,15411675,59.36,1925.138698418
Botswana,Africa,591912.0171663287,2168573,64.78,15914.6702328332
Namibia,Africa,824886.5609924819,2370992,62.981,9617.3969565111
Senegal,Africa,194390.43888192286,14546111,66.376,2218.55191733521
Mali,Africa,1235561.3734031564,16962846,57.007,1865.16062183071
Mauritania,Africa,1054107.194083601,4063920,62.907,3655.38850923143
Benin,Africa,116998.71257863307,10286712,60.373,2001.0772890116
Niger,Africa,1182269.648000065,19148219,59.228,904.456729989966
Nigeria,Africa,905071.7391719525,176460502,52.549,5671.9006010195
Cameroon,Africa,460324.7016141628,22239904,57.111,3196.36152634263
Togo,Africa,60966.96223395679,7228915,59.601,1315.3402595533
Ghana,Africa,243473.12028153308,26962563,62.154,3868.60089371873
C̫te d'Ivoire,Africa,329825.9514404848,22531350,52.52,3054.53487386428
Guinea,Africa,239565.07945845832,11805509,58.846,1734.73674695657
Guinea-Bissau,Africa,36191.885696315396,1725744,56.598,1398.25480632738
Liberia,Africa,98206.78296208286,4390737,61.527,804.719886747093
Sierra Leone,Africa,75980.33146654349,7079162,50.951,1692.14206707555
Burkina Faso,Africa,271593.6719431607,17585977,59.457,1582.33369667322
Central African Republic,Africa,621860.3491850538,4515392,50.621,597.135168986395
Republic of the Congo,Africa,339681.85545281507,4871101,63.536,5538.05294137178
Gabon,Africa,269475.79791946453,1875713,65.211,16678.6381326502
Equatorial Guinea,Africa,27120.574769460898,1129424,57.18,31542.5107726021
Zambia,Africa,751921.2150165385,15620974,60.775,3632.50375331402
Malawi,Africa,111197.0183475975,17068838,61.932,1090.3672076732
Mozambique,Africa,810994.7572164607,27212382,57.099,1079.82386564737
eSwatini,Africa,18118.634128284935,1295097,56.287,7870.97074814257
Angola,Africa,1245463.747697852,26920466,60.858,6257.15287433489
Burundi,Africa,26238.947859273674,9891790,56.688,803.172837396172
Israel,Asia,22991.16580778904,8215700,82.1536585365854,31702.0835366295
Lebanon,Asia,10099.003032882942,5603279,79.231,13831.3752293893
Madagascar,Africa,589382.8270115188,23589801,65.133,1372.02096124513
Palestine,Asia,5037.1038258715525,4294682,73.126,4319.52828287882
The Gambia,Africa,14031.284451458874,1917852,60.707,1550.21843235512
Tunisia,Africa,156237.32164709645,11143908,75.335,10767.0276518537
Algeria,Africa,2315916.657885878,39113313,75.641,13483.3378622219
Jordan,Asia,89207.13690631663,8809306,74.034,8622.18546801292
United Arab Emirates,Asia,79880.73828096686,9070867,76.948,63943.1858285789
Qatar,Asia,11327.854664806995,2374419,77.888,120860.06755829
Kuwait,Asia,16652.119691219774,3782450,74.458,70832.3683645207
Iraq,Asia,436965.03416826046,35006080,69.458,14838.3829483763
Oman,Asia,309302.0335952307,3960925,76.578,40365.2732623193
Vanuatu,Oceania,7490.040146716,258850,71.709,2892.34160435097
Cambodia,Asia,182235.97778204453,15270790,68.251,3124.31929344274
Thailand,Asia,510125.5697928897,68416772,74.895,14857.202932021
Lao PDR,Asia,229080.42229556548,6576397,65.975,5436.48264275006
Myanmar,Asia,679573.9942370827,51924182,66.285,4770.01209867368
Vietnam,Asia,335990.80172830634,92544915,75.855,5264.82809971072
Dem. Rep. Korea,Asia,125679.21603018776,25116363,71.179,NA
Republic of Korea,Asia,99044.36683048942,50746659,81.7219512195122,33425.6895931418
Mongolia,Asia,1544322.1501910465,2923896,68.847,11348.6473412397
India,Asia,3142892.0976928216,1293859294,68.021,5385.14181406703
Bangladesh,Asia,133782.1414146553,159405279,71.803,2973.0415646346
Bhutan,Asia,39377.40200573448,776448,69.43,7366.42412644897
Nepal,Asia,150706.87132155872,28323241,69.511,2266.18429824848
Pakistan,Asia,874119.9983153947,185546257,66.139,4576.2270153496
Afghanistan,Asia,652270.0703080253,32758020,62.895,1838.96024371997
Tajikistan,Asia,138111.759254274,8362745,70.69,2546.50048351137
Kyrgyzstan,Asia,195874.65849700352,5835500,70.4024390243902,3181.64216292265
Turkmenistan,Asia,480809.52185503166,5466241,67.552,14332.3657698371
Iran,Asia,1617559.040246604,78411092,75.466,16924.2006778247
Syria,Asia,185004.12549459527,19203090,69.817,NA
Armenia,Asia,28656.600751533588,2906220,74.255,7971.11792762162
Sweden,Europe,450581.58220359083,9696110,82.2536585365854,44167.6318669891
Belarus,Europe,208969.82971813146,9474511,72.9707317073171,17944.2098463253
Ukraine,Europe,572548.9837434913,45271947,71.1865853658537,8243.47351509088
Poland,Europe,310402.3329867297,38011735,77.6024390243903,24347.0736576846
Austria,Europe,85064.89515859539,8546356,81.490243902439,44320.5020125474
Hungary,Europe,92476.460365273,9866468,75.7634146341463,24161.4255236519
Moldova,Europe,32320.391773836833,3556397,71.258,4762.7808726743
Romania,Europe,238356.29711547357,19908979,74.9609756097561,19677.5202527307
Lithuania,Europe,63831.09147819559,2932367,74.5170731707317,26258.2100974103
Latvia,Europe,63923.533013601686,1993782,74.1243902439024,22172.2535081352
Estonia,Europe,44678.19680861726,1314545,77.0341463414634,27113.6859213723
Germany,Europe,357430.3412065657,80982500,81.090243902439,43560.6192440775
Bulgaria,Europe,110216.87505911825,7223938,74.4658536585366,16302.3205614307
Greece,Europe,131964.64666397715,10892413,81.3853658536585,24081.6305378246
Turkey,Asia,798849.164057534,77030628,75.239,22401.8804311394
Albania,Europe,29694.80029167606,2889104,77.963,10701.1207857986
Croatia,Europe,57530.85175302722,4238389,77.4780487804878,20334.4464738451
Switzerland,Europe,46185.25067297162,8188649,83.1975609756098,57218.0279263612
Luxembourg,Europe,2416.870482664978,556319,82.2292682926829,93655.3341630648
Belgium,Europe,30126.037885923313,11209057,81.2878048780488,41360.3955755286
Netherlands,Europe,40024.10448111802,16865008,81.7073170731707,45668.4414721322
Portugal,Europe,93408.59409916012,10401062,81.1219512195122,26023.6978492184
Spain,Europe,502306.46781808086,46480882,83.2292682926829,31195.4052422035
Ireland,Europe,58457.51341412076,4657740,81.3487804878049,48898.3286615603
New Caledonia,Oceania,23219.011736284552,268050,77.2528725957226,NA
Solomon Islands,Oceania,24728.114237136022,575504,70.113,2139.56074060145
New Zealand,Oceania,277627.6045396536,4509700,81.4048780487805,34455.3312172237
Australia,Oceania,7687613.84310903,23504138,82.3,43547.1974836868
Sri Lanka,Asia,65370.38952426107,20771e3,74.906,10650.3901782483
China,Asia,9409830.493433913,136427e4,75.932,12758.647789259
Taiwan,Asia,34345.701113844276,NA,NA,NA
Italy,Europe,315104.8511976049,60789140,83.090243902439,33945.8438783585
Denmark,Europe,42759.9277031922,5643475,80.7,45057.0741699595
United Kingdom,Europe,249986.39521154852,64613160,81.3048780487805,38251.7924802929
Iceland,Europe,107735.72136300623,327386,82.8609756097561,41701.1372653816
Azerbaijan,Asia,91113.25415431274,9535079,71.8,16715.1055213058
Georgia,Asia,69048.16050446029,3727e3,72.951,8749.15618927352
Philippines,Asia,292256.93938004086,100102249,68.813,6585.89594870884
Malaysia,Asia,338226.48656313843,30228017,74.976,24194.6339084542
Brunei Darussalam,Asia,10700.334245798074,411704,76.917,76089.2865740815
Slovenia,Europe,19118.122717949394,2061980,81.0780487804878,28417.656441512
Finland,Europe,341242.3388709205,5461512,81.1804878048781,39017.5372069548
Slovakia,Europe,47068.08202961854,5418649,76.8121951219512,27285.284673711
Czech Republic,Europe,81207.60292943622,10525347,78.8243902439024,29119.6166119074
Eritrea,Africa,119319.58487388949,NA,64.174,NA
Japan,Asia,404619.93285368854,127276e3,83.5878048780488,37337.3174057788
Paraguay,South America,401335.9163947885,6552584,72.913,8501.54353959203
Yemen,Asia,455915.0072541862,26246327,64.523,3766.80525494897
Saudi Arabia,Asia,1920324.1460891792,30776722,74.234,49958.4433361471
Antarctica,Antarctica,12335956.07635515,NA,NA,NA
Northern Cyprus,Asia,3786.36450592132,NA,NA,NA
Cyprus,Asia,6207.006190616856,1152309,80.173,29786.3656529772
Morocco,Africa,591718.9894320302,34318082,75.309,7078.88148932392
Egypt,Africa,996311.6231934065,91812566,71.12,9879.79935855302
Libya,Africa,1633720.717372596,6204108,71.659,16371.9021546442
Ethiopia,Africa,1132393.1671778986,97366774,64.535,1424.52698442707
Djibouti,Africa,21880.250511901726,912164,62.006,NA
Somaliland,Africa,167349.61274001343,NA,NA,NA
Uganda,Africa,245768.47938720885,38833338,59.224,1637.27508138464
Rwanda,Africa,23365.411192778156,11345357,66.188,1629.86886584829
Bosnia and Herzegovina,Europe,50605.07485165572,3566002,76.561,10516.7864355965
Macedonia,Europe,25062.25528605749,2077495,75.384,12298.4901835571
Serbia,Europe,76388.6050646267,7130576,75.3365853658537,13112.9089581967
Montenegro,Europe,13443.678059471747,621810,76.712,14796.6353955591
Kosovo,Europe,11230.261672153827,1821800,71.0975609756098,8698.29155889883
Trinidad and Tobago,North America,7737.80985537389,1354493,70.426,31181.8211959284
South Sudan,Africa,624909.0990858454,11530971,55.817,1935.87940008879
